dataset,n_samples,n_features,n_clusters,nmi_mean,nmi_std,ari_mean,ari_std,f1_mean,f1_std,time_mean,time_std,best_params
spiral,312,2,3,0.3495,0.1224,0.2594,0.0759,0.6303,0.0643,0.0049,0.0004,"{""neighbors"":3,""t_const"":30,""embedding_dim"":2,""iterations"":210}"
4C,1000,2,4,0.7078,0.1117,0.6043,0.1060,0.6867,0.0835,0.0355,0.0008,"{""neighbors"":30,""t_const"":30,""embedding_dim"":2,""iterations"":240}"
AC,1004,2,2,0.6595,0.2834,0.6824,0.2644,0.8948,0.0878,0.0152,0.0008,"{""neighbors"":10,""t_const"":20,""embedding_dim"":2,""iterations"":180}"
RingG,1536,2,4,0.9231,0.0761,0.9046,0.1082,0.9540,0.0589,0.0579,0.0006,"{""neighbors"":30,""t_const"":30,""embedding_dim"":2,""iterations"":270}"
complex9,3031,2,9,0.7944,0.0361,0.5554,0.0755,0.6648,0.0906,0.1125,0.0009,"{""neighbors"":30,""t_const"":30,""embedding_dim"":4,""iterations"":270}"
cure-t2-4k,4200,2,7,0.7102,0.1012,0.5287,0.1412,0.6692,0.0700,0.1233,0.0025,"{""neighbors"":30,""t_const"":20,""embedding_dim"":3,""iterations"":200}"
landsat,2000,36,6,0.5603,0.0751,0.4521,0.1025,0.6012,0.0646,0.0547,0.0014,"{""neighbors"":10,""t_const"":10,""embedding_dim"":3,""iterations"":90}"
spam,4601,57,2,0.0466,0.0421,0.0590,0.0759,0.5374,0.1283,0.2621,0.0211,"{""neighbors"":30,""t_const"":1,""embedding_dim"":2,""iterations"":12}"
waveform3,5000,21,3,0.3440,0.0493,0.2714,0.0456,0.5994,0.0565,0.3705,0.0521,"{""neighbors"":10,""t_const"":2,""embedding_dim"":2,""iterations"":22}"
pendigits,10992,16,10,0.7916,0.0206,0.6638,0.0601,0.7533,0.0629,1.9951,0.0642,"{""neighbors"":20,""t_const"":30,""embedding_dim"":4,""iterations"":330}"
USPS,11000,256,10,0.5645,0.0483,0.3544,0.0651,0.4558,0.0538,1.4957,0.0274,"{""neighbors"":5,""t_const"":30,""embedding_dim"":4,""iterations"":330}"
letters,20000,16,26,0.3184,0.0335,0.0279,0.0084,0.2006,0.0185,6.2489,0.1033,"{""neighbors"":20,""t_const"":30,""embedding_dim"":5,""iterations"":300}"
MNIST,70000,784,10,0.6912,0.0635,0.5255,0.0866,0.5634,0.0609,82.3210,0.9619,"{""neighbors"":5,""t_const"":30,""embedding_dim"":4,""iterations"":390}"
skin,245057,3,2,0.0347,0.0112,-0.0714,0.0134,0.4171,0.0106,18.0761,0.8472,"{""neighbors"":30,""t_const"":20,""embedding_dim"":2,""iterations"":340}"
covertype,581012,54,7,0.0305,0.0103,0.0379,0.0115,0.1719,0.0124,375.4867,6.8318,"{""neighbors"":15,""t_const"":30,""embedding_dim"":3,""iterations"":510}"
one_gaussian_10_one_line_5_2,1400,2,2,0.1067,0.1488,0.1179,0.1630,0.6124,0.1258,0.0422,0.0006,"{""neighbors"":20,""t_const"":30,""embedding_dim"":2,""iterations"":300}"
sparse_3_dense_3_dense_3,900,2,3,0.6615,0.2205,0.6287,0.2644,0.7935,0.1624,0.0137,0.0007,"{""neighbors"":5,""t_const"":30,""embedding_dim"":2,""iterations"":270}"
sparse_8_dense_1_dense_1,900,2,3,0.6157,0.1489,0.4674,0.2494,0.5966,0.2034,0.0226,0.0006,"{""neighbors"":20,""t_const"":20,""embedding_dim"":2,""iterations"":180}"
data_TB1M,1000000,2,2,0.0060,0.0042,0.0082,0.0058,0.5399,0.0208,95.2897,3.8104,"{""neighbors"":30,""t_const"":30,""embedding_dim"":2,""iterations"":570}"
data_SF2M,2000000,2,4,0.0121,0.0066,0.0092,0.0057,0.2679,0.0087,387.1180,1.5935,"{""neighbors"":30,""t_const"":30,""embedding_dim"":2,""iterations"":570}"
data_CC5M,5000000,2,3,0.0020,0.0013,0.0016,0.0009,0.3320,0.0098,2140.0505,6.2605,"{""neighbors"":30,""t_const"":30,""embedding_dim"":2,""iterations"":630}"
